gene,drug,n,rho,p,pathway,target
CDKN2A,Palbociclib,1346,0.24094062474298267,3.1379051278772314e-19,Cell cycle,"CDK4, CDK6"
SERPINB5,Oxaliplatin,1250,0.2436678156606177,2.3648364489095454e-18,DNA replication,DNA alkylating agent
SERPINB5,Olaparib,2032,0.19076683730004002,4.178870952842884e-18,Genome integrity,"PARP1, PARP2"
SERPINB5,Niraparib,654,0.3294153760785082,5.115281311041559e-18,Genome integrity,"PARP1, PARP2"
SERPINB5,Ribociclib,698,0.29854862213910344,7.761346241449474e-16,Cell cycle,"CDK4, CDK6"
SERPINB5,Cisplatin,1931,0.17839711596957145,2.841256820348569e-15,DNA replication,DNA crosslinker
SERPINB5,AZD8055,1244,0.21338298668307926,2.820503170195009e-14,PI3K/MTOR signaling,"MTORC1, MTORC2"
SERPINB5,Talazoparib,1353,0.18493768724690732,7.105339454184328e-12,Genome integrity,"PARP1, PARP2"
SERPINB5,AZD7762,2049,0.14767260552335035,1.8510968076972328e-11,Cell cycle,"CHEK1, CHEK2"
SERPINB5,Rucaparib,1363,0.18039708492211987,1.9589169583620476e-11,Genome integrity,"PARP1, PARP2"
SERPINB5,Veliparib,1370,0.17629556362866922,5.0014931266288135e-11,Genome integrity,"PARP1, PARP2"
SERPINB5,Palbociclib,1346,0.17384576189320483,1.353303427840081e-10,Cell cycle,"CDK4, CDK6"
SERPINB5,Voxtalisib,674,0.24031247536379174,2.6132772716944537e-10,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
KRT6A,Oxaliplatin,1250,0.17310168608769896,7.25121316424969e-10,DNA replication,DNA alkylating agent
SERPINB5,Dactolisib,1367,0.16486411406236715,8.68120725895863e-10,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
SERPINB5,Rapamycin,921,0.19605758835770573,1.9707850240331107e-09,PI3K/MTOR signaling,MTORC1
SERPINB5,Temsirolimus,1342,0.1558381514377472,9.54384230815892e-09,PI3K/MTOR signaling,MTOR
SERPINB5,VE821,691,0.20919252868948435,2.8470778332809124e-08,Genome integrity,ATR
S100A9,Palbociclib,1346,0.14445689532936273,1.0216304154270737e-07,Cell cycle,"CDK4, CDK6"
SERPINB5,VE-822,651,0.2037024206824347,1.5843079675762242e-07,Genome integrity,ATR
SERPINB5,Topotecan,545,0.22202775290107588,1.633027889506137e-07,DNA replication,TOP1
SERPINB5,Dinaciclib,650,0.20327405016587255,1.7210891799603318e-07,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
SERPINB5,MK-2206,1347,0.13741299333215845,4.135474133602063e-07,PI3K/MTOR signaling,"AKT1, AKT2"
SERPINB5,Apitolisib,665,0.1947369005658958,4.173333948982521e-07,PI3K/MTOR signaling,"mTOR, PI3K"
KRT6A,Ribociclib,698,0.18948183046178588,4.5869382442678214e-07,Cell cycle,"CDK4, CDK6"
S100A9,Oxaliplatin,1250,0.14191857953728163,4.7022538537968234e-07,DNA replication,DNA alkylating agent
SERPINB5,GSK1059615,663,0.19402162774674012,4.795739029412105e-07,PI3K/MTOR signaling,PI3K
SERPINB5,Idelalisib,671,0.191440028791531,5.852163326896216e-07,PI3K/MTOR signaling,PI3Kdelta
SERPINB5,Buparlisib,698,0.18713256724520608,6.385649083041826e-07,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
SERPINB5,Pilaralisib,674,0.1866838354943086,1.057813270429679e-06,PI3K/MTOR signaling,PI3K
SERPINB5,MK-1775,705,0.17967258012757328,1.5764166386556535e-06,Cell cycle,"WEE1, PLK1"
KRT6A,AZD8055,1244,0.13511112180436421,1.7306301981744175e-06,PI3K/MTOR signaling,"MTORC1, MTORC2"
SERPINB5,AZD6738,1368,0.1266032705243191,2.6369852832556883e-06,Genome integrity,ATR
KRT6A,Olaparib,2032,0.09840002705707598,8.84223503877461e-06,Genome integrity,"PARP1, PARP2"
CDC20,Cisplatin,1931,-0.09967364297288024,1.1436196301909618e-05,DNA replication,DNA crosslinker
KRT6A,Palbociclib,1346,0.11796811496620535,1.430432045108511e-05,Cell cycle,"CDK4, CDK6"
KRT5,Oxaliplatin,1250,0.12192231472430044,1.5432233237149508e-05,DNA replication,DNA alkylating agent
KRT6A,Niraparib,654,0.16627783748225441,1.9204317962348844e-05,Genome integrity,"PARP1, PARP2"
S100A9,Rucaparib,1363,0.11390154076950651,2.498033777493462e-05,Genome integrity,"PARP1, PARP2"
S100A9,Talazoparib,1353,0.11334828538825481,2.9288733143824544e-05,Genome integrity,"PARP1, PARP2"
SERPINB5,AZ20,673,0.15914864040302804,3.3618447254123774e-05,Genome integrity,ATR
S100A9,Dactolisib,1367,0.11183997096276692,3.408828414500191e-05,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
CDC20,AZD7762,2049,-0.09105049098984239,3.6666254498710664e-05,Cell cycle,"CHEK1, CHEK2"
SERPINB5,5-Fluorouracil,1375,0.11074705547198166,3.862718593035333e-05,Other,Antimetabolite (DNA & RNA)
SERPINB5,Capivasertib,672,0.15803662375467242,3.8711684188448175e-05,PI3K/MTOR signaling,AKT
SERPINB5,Flavopiridol,662,0.15643878353811808,5.291196375288936e-05,Cell cycle,CDK
SERPINB5,Seliciclib,250,0.24874950424355885,7.007255623173084e-05,Cell cycle,"CDK2, CDK7, CDK9"
S100A9,Olaparib,2032,0.08798679349129387,7.141941972370164e-05,Genome integrity,"PARP1, PARP2"
S100A9,AZD8055,1244,0.1123186743280094,7.183983042850019e-05,PI3K/MTOR signaling,"MTORC1, MTORC2"
SERPINB5,AZD2014,1216,0.11276775556736221,8.118389168809937e-05,PI3K/MTOR signaling,"mTORC1, mTORC2"
PITX1,GSK1059615,663,0.15225737773042944,8.28456757841392e-05,PI3K/MTOR signaling,PI3K
SERPINB5,Vinorelbine,1348,0.10661705454647963,8.781337996004782e-05,Mitosis,Microtubule destabiliser
KRT6A,Rucaparib,1363,0.1046848285876685,0.00010797329877413985,Genome integrity,"PARP1, PARP2"
KRT6A,Veliparib,1370,0.10325558517304198,0.00012887395756670513,Genome integrity,"PARP1, PARP2"
KRT6A,Talazoparib,1353,0.10356137049340439,0.00013560118174481525,Genome integrity,"PARP1, PARP2"
KRT6A,Cisplatin,1931,0.085510202928971,0.00016852893622095754,DNA replication,DNA crosslinker
CDKN2A,AZ20,673,0.14418476038208997,0.00017462547006066552,Genome integrity,ATR
S100A9,Cisplatin,1931,0.08494471292135396,0.00018617218272217096,DNA replication,DNA crosslinker
SERPINB5,AZD5438,1215,0.10521649251208026,0.0002388366034431199,Cell cycle,CDK2
KRT5,Ribociclib,698,0.13800827120080167,0.00025507082697188933,Cell cycle,"CDK4, CDK6"
SERPINB5,Paclitaxel,951,0.1178066190894621,0.000271727466391305,Mitosis,Microtubule stabiliser
S100A9,Ribociclib,698,0.13706474325933773,0.00028137280520995243,Cell cycle,"CDK4, CDK6"
S100A9,Niraparib,654,0.14023686734205834,0.00032157799014422814,Genome integrity,"PARP1, PARP2"
CDKN2A,Bleomycin,1179,0.1043700927563433,0.00033103678231528156,DNA replication,dsDNA break induction
PITX1,VE821,691,0.13572503538255296,0.00034636996640284313,Genome integrity,ATR
CDKN2A,AZD6738,1368,0.09597399509554402,0.000378404942322778,Genome integrity,ATR
S100A8,Alpelisib,704,-0.13218693309713198,0.0004372348796665353,PI3K/MTOR signaling,PI3Kalpha
SERPINB5,PHA-793887,672,0.13423367726427043,0.0004847245385693435,Cell cycle,"CDK2, CDK7, CDK5"
KRT5,Palbociclib,1346,0.09185991888953872,0.0007404403353908046,Cell cycle,"CDK4, CDK6"
S100A9,Voxtalisib,674,0.12964163242974028,0.0007416718224174752,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
CDC20,Olaparib,2032,-0.07270261081833936,0.0010395758991553824,Genome integrity,"PARP1, PARP2"
KRT5,Seliciclib,250,0.20540492242965247,0.0010893995286160815,Cell cycle,"CDK2, CDK7, CDK9"
S100A9,AZD7762,2049,0.0720981515606768,0.0010913775827124984,Cell cycle,"CHEK1, CHEK2"
PITX1,Docetaxel,1893,-0.07393180041452035,0.0012866013257655858,Mitosis,Microtubule stabiliser
S100A8,Palbociclib,1346,0.08751068756094146,0.0013100678954653072,Cell cycle,"CDK4, CDK6"
CDKN2A,Dactolisib,1367,0.08283631038685993,0.002175454520274799,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
KRT5,Niraparib,654,0.1195434090987954,0.002196624479071286,Genome integrity,"PARP1, PARP2"
CDKN2A,Talazoparib,1353,0.08308144872379432,0.002224766892478045,Genome integrity,"PARP1, PARP2"
SERPINB5,Omipalisib,673,0.11768455316706612,0.0022285058004438254,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
SERPINB5,Etoposide,651,0.11796643676016198,0.0025729616525556197,DNA replication,TOP2
CDC20,Alpelisib,704,0.11330664535865857,0.002606260962934255,PI3K/MTOR signaling,PI3Kalpha
KRT5,AZD8055,1244,0.08528150359907877,0.002609268998934674,PI3K/MTOR signaling,"MTORC1, MTORC2"
PITX1,Niraparib,654,0.11732721241705205,0.002654903843900208,Genome integrity,"PARP1, PARP2"
KRT6A,5-Fluorouracil,1375,0.07987342323644837,0.003038376794065507,Other,Antimetabolite (DNA & RNA)
KRT6A,PHA-793887,672,0.11333933482082033,0.003259875471703401,Cell cycle,"CDK2, CDK7, CDK5"
KRT6A,VE-822,651,0.11447750943097416,0.0034460355992004046,Genome integrity,ATR
S100A9,Alpelisib,704,-0.11004542850300425,0.0034608679702138774,PI3K/MTOR signaling,PI3Kalpha
CDC20,Etoposide,651,-0.11406728613185796,0.003564680035953601,DNA replication,TOP2
PITX1,Palbociclib,1346,0.07857203508458975,0.0039213196395236245,Cell cycle,"CDK4, CDK6"
KRT5,VE-822,651,0.11056399124315089,0.004739154382856366,Genome integrity,ATR
S100A9,AZ20,673,0.10801288543024044,0.005030123790908284,Genome integrity,ATR
PITX1,Flavopiridol,662,0.10800919376264514,0.0054042060429438125,Cell cycle,CDK
CDC20,Talazoparib,1353,-0.0753494128671255,0.005554730404426758,Genome integrity,"PARP1, PARP2"
KRT6A,MK-1775,705,0.10334821666945232,0.006022142277386233,Cell cycle,"WEE1, PLK1"
CDKN2A,Mitomycin-C,645,0.10749594961777113,0.006282036242158784,DNA replication,DNA crosslinker
CDC20,Bleomycin,1179,-0.07900488772888242,0.006645157673218548,DNA replication,dsDNA break induction
KRT6A,Voxtalisib,674,0.10397783218172857,0.006897822641725861,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
S100A9,VE821,691,0.1024044541708179,0.0070577822179297995,Genome integrity,ATR
CDC20,Oxaliplatin,1250,0.07611965604033223,0.0070929000632818096,DNA replication,DNA alkylating agent
CDKN2A,AZD8055,1244,0.07614294394957974,0.007214179708882179,PI3K/MTOR signaling,"MTORC1, MTORC2"
S100A9,Temsirolimus,1342,0.07263905237974357,0.007766702493781688,PI3K/MTOR signaling,MTOR
S100A9,Veliparib,1370,0.07186126534435809,0.007794356932552705,Genome integrity,"PARP1, PARP2"
CDKN2A,AZD7762,2049,0.05853990598197513,0.008036878681447363,Cell cycle,"CHEK1, CHEK2"
KRT6A,Dinaciclib,650,0.10372260768580986,0.008133686568755292,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
PITX1,Cisplatin,1931,0.05981426264920367,0.008561648103804559,DNA replication,DNA crosslinker
PITX1,Ribociclib,698,0.0992740098761168,0.008675752565571316,Cell cycle,"CDK4, CDK6"
CDC20,Ribociclib,698,0.09832949578846342,0.00933649561590112,Cell cycle,"CDK4, CDK6"
SERPINB5,Bleomycin,1179,0.07538934011015913,0.00961010988284611,DNA replication,dsDNA break induction
S100A8,Seliciclib,250,0.16307682872401771,0.009798448671837753,Cell cycle,"CDK2, CDK7, CDK9"
